unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1565661600.0,2019-08-13 02-AM,BTC/USDT,11399.06,11429.96,11383.3,11393.18,336.93,3843857.8,NULL
1565658000.0,2019-08-13 01-AM,BTC/USDT,11427.68,11456.16,11399,11399.06,428.26,4891800.85,NULL
1565654400.0,2019-08-13 12-AM,BTC/USDT,11396.08,11435.54,11355.99,11427.68,610.35,6954726.39,NULL
1565650800.0,2019-08-12 11-PM,BTC/USDT,11418.78,11426.83,11380.39,11396.08,342.97,3909560.13,NULL
1565647200.0,2019-08-12 10-PM,BTC/USDT,11397.93,11450.86,11375.28,11418.78,542.96,6196097.79,NULL
1565643600.0,2019-08-12 09-PM,BTC/USDT,11438.14,11452.75,11395,11397.93,409.19,4672977.87,NULL
1565640000.0,2019-08-12 08-PM,BTC/USDT,11443.89,11474.03,11382.56,11438.14,813.26,9308300.35,NULL
1565636400.0,2019-08-12 07-PM,BTC/USDT,11419,11449.15,11395.57,11443.89,509.92,5825173.51,NULL
1565632800.0,2019-08-12 06-PM,BTC/USDT,11415.14,11429.77,11385.48,11419,458.3,5226352.78,NULL
1565629200.0,2019-08-12 05-PM,BTC/USDT,11410.12,11441,11390,11415.14,684.83,7818725.4,NULL
1565625600.0,2019-08-12 04-PM,BTC/USDT,11399.11,11441.03,11375,11410.12,963.02,10982543.81,NULL
1565622000.0,2019-08-12 03-PM,BTC/USDT,11380.48,11400,11340,11399.11,672.14,7647921.11,NULL
1565618400.0,2019-08-12 02-PM,BTC/USDT,11379.18,11402.83,11361.42,11380.48,521.18,5934175.73,NULL
1565614800.0,2019-08-12 01-PM,BTC/USDT,11397.54,11412.51,11357,11379.18,799.34,9096983.31,NULL
1565611200.0,2019-08-12 12-PM,BTC/USDT,11328.01,11425,11235.32,11397.54,1657.41,18828481.01,NULL
1565607600.0,2019-08-12 11-AM,BTC/USDT,11379.51,11394.23,11305.55,11328.01,896.51,10168243.59,NULL
1565604000.0,2019-08-12 10-AM,BTC/USDT,11357.8,11399.8,11350,11379.51,565.17,6430176.56,NULL
1565600400.0,2019-08-12 09-AM,BTC/USDT,11371.91,11391.35,11343,11357.8,546.71,6216727.0,NULL
1565596800.0,2019-08-12 08-AM,BTC/USDT,11411.97,11415.01,11313.14,11371.91,970.66,11021222.23,NULL
1565593200.0,2019-08-12 07-AM,BTC/USDT,11380.99,11440.03,11343.13,11411.97,635.42,7232285.47,NULL
1565589600.0,2019-08-12 06-AM,BTC/USDT,11399,11414.42,11340,11380.99,791.37,9005976.08,NULL
1565586000.0,2019-08-12 05-AM,BTC/USDT,11435.95,11453.2,11371.15,11399,664.24,7576153.04,NULL
1565582400.0,2019-08-12 04-AM,BTC/USDT,11446.44,11471.29,11420,11435.95,390.8,4475591.03,NULL
1565578800.0,2019-08-12 03-AM,BTC/USDT,11450,11465,11410,11446.44,654.81,7494911.65,NULL
1565575200.0,2019-08-12 02-AM,BTC/USDT,11494.76,11499,11420.06,11450,483.14,5540002.69,NULL
1565571600.0,2019-08-12 01-AM,BTC/USDT,11480.8,11539.3,11463.74,11494.76,469.44,5398186.75,NULL
1565568000.0,2019-08-12 12-AM,BTC/USDT,11549.97,11577.89,11450,11480.8,912.2,10495847.17,NULL
